metric,value
Bus:avg_utilization,0.789314
Bus:direction_rev_count,0
Bus:efficiency,0.333111
Bus:transferred_bytes,96064
Bus:transferred_payloads,32000
Host-0:2:avg_evict_wait_ns,0
Host-0:2:avg_latency_ns,1031.78
Host-0:2:bw_gbps,1.98204
Host-0:avg_evict_wait_ns,0
Host-0:avg_latency_ns,1031.78
Host-0:bw_gbps,1.98204
Host-0:cache_evict_count,0
Host-0:cache_hit_count,0
Host-0:random_seed,42
Host-0:req_count,500
id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
70,Non-temporal read,2,156b8840,1361,2417,857,48,0,0,0,0,0,71,1056
71,Non-temporal read,2,1388f2c0,1393,2449,857,48,0,0,0,0,0,71,1056
72,Non-temporal read,2,30a17000,1425,2481,857,48,0,0,0,0,0,71,1056
73,Non-temporal read,2,3adc7100,1457,2513,857,48,0,0,0,0,0,71,1056
74,Non-temporal read,2,11a51700,1489,2545,857,48,0,0,0,0,0,71,1056
75,Non-temporal read,2,16e26680,1521,2577,879,48,0,0,0,0,0,49,1056
76,Non-temporal read,2,14482940,1553,2609,857,48,0,0,0,0,0,71,1056
78,Non-temporal read,2,2f824c00,1617,2641,825,48,0,0,0,0,0,71,1024
77,Non-temporal read,2,3fe02800,1585,2673,847,48,0,0,0,0,0,113,1088
79,Non-temporal read,2,1728e140,1649,2705,856,48,0,0,0,0,0,72,1056
80,Non-temporal read,2,54a4340,1681,2737,847,48,0,0,0,0,0,81,1056
81,Non-temporal read,2,268d440,1713,2769,856,48,0,0,0,0,0,72,1056
82,Non-temporal read,2,c4b5c80,1745,2801,857,48,0,0,0,0,0,71,1056
83,Non-temporal read,2,22af2100,1777,2833,857,48,0,0,0,0,0,71,1056
84,Non-temporal read,2,743840,1809,2865,857,48,0,0,0,0,0,71,1056
85,Non-temporal read,2,23a07080,1841,2897,857,48,0,0,0,0,0,71,1056
86,Non-temporal read,2,1042c0,1873,2929,857,48,0,0,0,0,0,71,1056
87,Non-temporal read,2,259a72c0,1905,2961,857,48,0,0,0,0,0,71,1056
88,Non-temporal read,2,18f09dc0,1937,2993,857,48,0,0,0,0,0,71,1056
89,Non-temporal read,2,1cda29c0,1969,3025,857,48,0,0,0,0,0,71,1056
90,Non-temporal read,2,de72300,2001,3057,857,48,0,0,0,0,0,71,1056
91,Non-temporal read,2,343e8bc0,2033,3089,879,48,0,0,0,0,0,49,1056
92,Non-temporal read,2,2cce7340,2065,3121,857,48,0,0,0,0,0,71,1056
93,Non-temporal read,2,56131c0,2097,3153,857,48,0,0,0,0,0,71,1056
