,PE,DR,page,Layer0,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Layer41,Layer42,Layer43,Layer44,Layer45,Layer46,Layer47,Layer48,Layer49,Layer50,Layer51,Layer52,Layer53,Layer54,Layer55,Layer56,Layer57,Layer58,Layer59,Layer60,Layer61,Layer62,Layer63,Layer64,Layer65,Layer66,Layer67,Layer68,Layer69,Layer70,Layer71,Layer72,Layer73,Layer74,Layer75,Layer76,Layer77,Layer78,Layer79,Layer80,Layer81,Layer82,Layer83,Layer84,Layer85,Layer86,Layer87,Layer88,Layer89,Layer90,Layer91,Layer92,Layer93,Layer94,Layer95,Layer96,Layer97,Layer98,Layer99,Layer100,Layer101,Layer102,Layer103,Layer104,Layer105,Layer106,Layer107,Layer108,Layer109,Layer110,Layer111,Layer112,Layer113,Layer114,Layer115,Layer116,Layer117,Layer118,Layer119,Layer120,Layer121,Layer122,Layer123,Layer124,Layer125,Layer126,Layer127,mean
0,1,0,0,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0052,0.0052,0.0052,0.0052,0.0065,0.0065,0.0065,0.0065,0.0065,0.00779,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0052,0.0052,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0052,0.0052,0.0052,0.0052,0.0065,0.0065,0.0065,0.00779,0.00779,0.00779,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0052,0.0052,0.0052,0.0052,0.0065,0.0065,0.00779,0.00779,0.00779,0.00779,0.00779,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0052,0.0052,0.0052,0.0052,0.0065,0.0065,0.00779,0.00779,0.00779,0.00779,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.006448203124999985
1,1,0,1,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0378,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0378,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0378,0.0315,0.0378,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.03169687499999995
2,1,0,2,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0825,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0825,0.0825,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.0688,0.06912109375000013
3,1,1,0,0.00169,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00211,0.00211,0.00211,0.00254,0.00211,0.00211,0.00211,0.00211,0.00211,0.00254,0.00254,0.00211,0.00211,0.00211,0.00169,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00169,0.00169,0.00169,0.00169,0.00211,0.00211,0.00211,0.00211,0.00254,0.00254,0.00254,0.00211,0.00211,0.00211,0.00254,0.00254,0.00211,0.00211,0.00211,0.00169,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00169,0.00169,0.00169,0.00169,0.00211,0.00211,0.00211,0.00254,0.00254,0.00254,0.00254,0.00211,0.00211,0.00211,0.00254,0.00254,0.00211,0.00211,0.00211,0.00169,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00211,0.00169,0.00169,0.00169,0.00169,0.00211,0.00211,0.00211,0.00211,0.00254,0.00254,0.00254,0.00211,0.00211,0.00211,0.00254,0.00254,0.00211,0.00211,0.00211,0.002101640624999999
4,1,1,1,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00729,0.00911,0.00911,0.00911,0.00911,0.0109,0.00911,0.0109,0.0109,0.00911,0.00911,0.00911,0.0109,0.0109,0.0109,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00729,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00729,0.00911,0.00911,0.00911,0.00911,0.0109,0.00911,0.0109,0.0109,0.00911,0.00911,0.00911,0.0109,0.0109,0.0109,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.0109,0.00911,0.0109,0.0109,0.00911,0.00911,0.00911,0.0109,0.0109,0.0109,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.00911,0.0109,0.00911,0.0109,0.0109,0.00911,0.00911,0.00911,0.0109,0.0109,0.0109,0.00911,0.00911,0.00911,0.009402968749999978
5,1,1,2,0.0187,0.0234,0.0234,0.0234,0.0234,0.0234,0.0187,0.0187,0.0187,0.0187,0.0234,0.0234,0.0234,0.0234,0.0234,0.0187,0.0234,0.0234,0.0234,0.0281,0.0281,0.0281,0.0281,0.0281,0.0281,0.0234,0.0281,0.0234,0.0234,0.0234,0.0234,0.0234,0.0187,0.0234,0.0187,0.0234,0.0234,0.0187,0.0187,0.0187,0.0187,0.0187,0.0234,0.0234,0.0234,0.0234,0.0234,0.0187,0.0234,0.0234,0.0234,0.0281,0.0281,0.0281,0.0281,0.0281,0.0281,0.0234,0.0281,0.0234,0.0234,0.0234,0.0234,0.0234,0.0187,0.0234,0.0234,0.0234,0.0234,0.0234,0.0187,0.0187,0.0187,0.0187,0.0234,0.0234,0.0234,0.0281,0.0234,0.0187,0.0234,0.0234,0.0234,0.0281,0.0281,0.0281,0.0281,0.0281,0.0281,0.0234,0.0281,0.0234,0.0234,0.0234,0.0234,0.0234,0.0187,0.0234,0.0234,0.0234,0.0234,0.0234,0.0187,0.0187,0.0234,0.0187,0.0234,0.0234,0.0234,0.0281,0.0234,0.0187,0.0234,0.0234,0.0234,0.0281,0.0281,0.0281,0.0281,0.0281,0.0281,0.0234,0.0281,0.0234,0.0234,0.0234,0.0234,0.0234,0.02358359375000001
6,1,2,0,0.00144,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00144,0.00144,0.00144,0.00144,0.00144,0.00144,0.0018,0.0018,0.0018,0.00216,0.0018,0.0018,0.0018,0.0018,0.0018,0.00216,0.00216,0.0018,0.0018,0.0018,0.00144,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00144,0.00144,0.00144,0.00144,0.00144,0.0018,0.0018,0.0018,0.00216,0.00216,0.00216,0.0018,0.0018,0.0018,0.00216,0.00216,0.0018,0.00216,0.0018,0.00144,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00144,0.00144,0.00144,0.00144,0.0018,0.0018,0.0018,0.0018,0.00216,0.00216,0.00216,0.0018,0.0018,0.00216,0.00216,0.00216,0.0018,0.00216,0.0018,0.00144,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00144,0.00144,0.00144,0.00144,0.00144,0.0018,0.0018,0.0018,0.00216,0.00216,0.00216,0.0018,0.0018,0.0018,0.00216,0.00216,0.0018,0.00216,0.0018,0.0017943749999999976
7,1,2,1,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00572,0.00572,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00572,0.00572,0.00572,0.00715,0.00715,0.00858,0.00715,0.00858,0.00858,0.00715,0.00715,0.00715,0.00858,0.00858,0.00858,0.00715,0.00858,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00572,0.00572,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00572,0.00572,0.00572,0.00715,0.00715,0.00858,0.00715,0.00858,0.00858,0.00715,0.00715,0.00715,0.00858,0.00858,0.00858,0.00715,0.00858,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00572,0.00572,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00572,0.00572,0.00572,0.00715,0.00715,0.00858,0.00715,0.00858,0.00858,0.00715,0.00715,0.00715,0.00858,0.00858,0.00858,0.00715,0.00858,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00572,0.00572,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00572,0.00572,0.00572,0.00715,0.00715,0.00858,0.00715,0.00858,0.00858,0.00715,0.00715,0.00715,0.00858,0.00858,0.00858,0.00715,0.00858,0.00715,0.007239374999999994
8,1,2,2,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.018,0.018,0.0216,0.018,0.0144,0.018,0.018,0.018,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.018,0.0216,0.018,0.018,0.018,0.018,0.018,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.018,0.018,0.0216,0.018,0.0144,0.018,0.018,0.018,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.018,0.0216,0.018,0.018,0.018,0.018,0.018,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.018,0.018,0.0216,0.018,0.0144,0.018,0.018,0.018,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.018,0.0216,0.018,0.018,0.018,0.018,0.018,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.018,0.018,0.0216,0.018,0.0144,0.018,0.018,0.018,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.018,0.018,0.018,0.018,0.018,0.01757812499999998
9,1,3,0,0.00123,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00123,0.00123,0.00123,0.00123,0.00123,0.00154,0.00154,0.00154,0.00184,0.00154,0.00154,0.00154,0.00154,0.00154,0.00184,0.00184,0.00154,0.00154,0.00154,0.00123,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00123,0.00123,0.00123,0.00123,0.00123,0.00154,0.00154,0.00154,0.00184,0.00154,0.00154,0.00154,0.00154,0.00154,0.00184,0.00184,0.00154,0.00184,0.00154,0.00123,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00123,0.00123,0.00123,0.00123,0.00154,0.00154,0.00154,0.00184,0.00184,0.00184,0.00154,0.00154,0.00184,0.00184,0.00184,0.00154,0.00184,0.00154,0.00123,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00154,0.00123,0.00123,0.00123,0.00123,0.00154,0.00154,0.00154,0.00184,0.00154,0.00154,0.00154,0.00154,0.00154,0.00184,0.00184,0.00154,0.00184,0.00154,0.0015289062500000034
10,1,3,1,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00468,0.00468,0.00585,0.00468,0.00585,0.00585,0.00585,0.00585,0.00468,0.00468,0.00468,0.00468,0.00585,0.00702,0.00585,0.00702,0.00585,0.00585,0.00585,0.00585,0.00702,0.00702,0.00702,0.00585,0.00702,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00468,0.00468,0.00585,0.00468,0.00585,0.00585,0.00585,0.00585,0.00468,0.00468,0.00468,0.00468,0.00585,0.00702,0.00585,0.00702,0.00702,0.00585,0.00585,0.00585,0.00702,0.00702,0.00702,0.00702,0.00702,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00468,0.00468,0.00585,0.00468,0.00585,0.00585,0.00585,0.00585,0.00468,0.00468,0.00468,0.00585,0.00585,0.00702,0.00585,0.00702,0.00702,0.00585,0.00585,0.00585,0.00702,0.00702,0.00702,0.00702,0.00702,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00468,0.00468,0.00585,0.00468,0.00585,0.00585,0.00585,0.00585,0.00468,0.00468,0.00468,0.00585,0.00585,0.00702,0.00585,0.00702,0.00702,0.00585,0.00585,0.00585,0.00702,0.00702,0.00702,0.00702,0.00702,0.00585,0.005886562500000013
11,1,3,2,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.014,0.014,0.0167,0.014,0.0112,0.014,0.014,0.014,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.014,0.0167,0.014,0.014,0.014,0.014,0.014,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.014,0.014,0.0167,0.014,0.0112,0.014,0.014,0.014,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.014,0.0167,0.0167,0.014,0.014,0.014,0.014,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.014,0.014,0.0167,0.014,0.0112,0.014,0.014,0.014,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.014,0.014,0.014,0.014,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112,0.014,0.014,0.0167,0.014,0.0112,0.014,0.014,0.014,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.014,0.014,0.014,0.014,0.013730468750000006
12,1,4,0,0.00109,0.00136,0.00136,0.00136,0.00136,0.00136,0.00109,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00109,0.00109,0.00109,0.00109,0.00109,0.00136,0.00136,0.00136,0.00163,0.00136,0.00136,0.00136,0.00136,0.00136,0.00163,0.00163,0.00136,0.00163,0.00136,0.00109,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00109,0.00109,0.00109,0.00109,0.00136,0.00136,0.00136,0.00163,0.00136,0.00136,0.00136,0.00136,0.00163,0.00163,0.00163,0.00163,0.00163,0.00136,0.00109,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00109,0.00109,0.00109,0.00109,0.00136,0.00136,0.00136,0.00163,0.00136,0.00163,0.00136,0.00136,0.00163,0.00163,0.00163,0.00163,0.00163,0.00136,0.00109,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00109,0.00109,0.00109,0.00109,0.00136,0.00136,0.00136,0.00163,0.00136,0.00136,0.00136,0.00136,0.00163,0.00163,0.00163,0.00163,0.00163,0.00136,0.001362109375
