,PE,DR,page,Layer0,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Layer41,Layer42,Layer43,Layer44,Layer45,Layer46,Layer47,Layer48,Layer49,Layer50,Layer51,Layer52,Layer53,Layer54,Layer55,Layer56,Layer57,Layer58,Layer59,Layer60,Layer61,Layer62,Layer63,Layer64,Layer65,Layer66,Layer67,Layer68,Layer69,Layer70,Layer71,Layer72,Layer73,Layer74,Layer75,Layer76,Layer77,Layer78,Layer79,Layer80,Layer81,Layer82,Layer83,Layer84,Layer85,Layer86,Layer87,Layer88,Layer89,Layer90,Layer91,Layer92,Layer93,Layer94,Layer95,Layer96,Layer97,Layer98,Layer99,Layer100,Layer101,Layer102,Layer103,Layer104,Layer105,Layer106,Layer107,Layer108,Layer109,Layer110,Layer111,Layer112,Layer113,Layer114,Layer115,Layer116,Layer117,Layer118,Layer119,Layer120,Layer121,Layer122,Layer123,Layer124,Layer125,Layer126,Layer127,mean
0,1,0,0,0.000376,0.000376,0.000376,0.000313,0.000313,0.000313,0.000313,0.000313,0.000313,0.000313,0.000313,0.000313,0.000376,0.000376,0.000313,0.000313,0.000376,0.000376,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.000313,0.000313,0.00025,0.000313,0.000313,0.000313,0.00025,0.000376,0.000376,0.000376,0.000313,0.000313,0.000376,0.000376,0.000313,0.000376,0.000313,0.000313,0.000376,0.000376,0.000376,0.000313,0.000313,0.000376,0.000376,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.000313,0.000313,0.000313,0.000313,0.000313,0.000313,0.000313,0.00025,0.000376,0.000376,0.000376,0.000313,0.000313,0.000376,0.000376,0.000313,0.000376,0.000313,0.000313,0.000376,0.000376,0.000376,0.000313,0.000313,0.000376,0.000376,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.000313,0.000313,0.000313,0.000313,0.000313,0.000313,0.00025,0.000376,0.000376,0.000376,0.000313,0.000313,0.000313,0.000313,0.000313,0.000376,0.000313,0.000313,0.000313,0.000376,0.000376,0.000313,0.000313,0.000376,0.000376,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.000313,0.000313,0.00025,0.000313,0.000313,0.000313,0.00025,0.000314969
3,1,1,0,0.00449,0.00449,0.00449,0.00374,0.00374,0.00449,0.00449,0.00449,0.00449,0.00374,0.00374,0.00374,0.00374,0.00374,0.00374,0.00374,0.00449,0.00449,0.00374,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00374,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00374,0.00374,0.00374,0.00374,0.00374,0.00374,0.00449,0.00449,0.00374,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00374,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00449,0.00374,0.00374,0.00374,0.00374,0.00374,0.00374,0.00374,0.00449,0.00449,0.00374,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00374,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00449,0.00449,0.00449,0.00374,0.00374,0.00449,0.00449,0.00449,0.00449,0.00374,0.00374,0.00374,0.00374,0.00374,0.00374,0.00374,0.00449,0.00449,0.00374,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00374,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.003698984
6,1,2,0,0.00585,0.00585,0.00585,0.00585,0.00487,0.00585,0.00585,0.00585,0.00585,0.00487,0.00487,0.00487,0.00487,0.00487,0.00487,0.00487,0.00585,0.00585,0.00487,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.00487,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00487,0.00487,0.00487,0.00487,0.00487,0.00487,0.00585,0.00585,0.00487,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.00487,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00487,0.00487,0.00487,0.00487,0.00487,0.00487,0.00487,0.00585,0.00585,0.00487,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.00487,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.00585,0.00585,0.00585,0.00487,0.00487,0.00585,0.00585,0.00585,0.00585,0.00487,0.00487,0.00487,0.00487,0.00487,0.00487,0.00487,0.00585,0.00585,0.00487,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.00487,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.004827813
9,1,3,0,0.00781,0.00781,0.00781,0.00651,0.00651,0.00781,0.00781,0.00781,0.00781,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00781,0.00781,0.00651,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00651,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00781,0.00781,0.00781,0.00781,0.00781,0.00781,0.00781,0.00781,0.00781,0.00781,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00781,0.00781,0.00651,0.00521,0.00651,0.00521,0.00521,0.00521,0.00521,0.00651,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00781,0.00781,0.00781,0.00651,0.00781,0.00781,0.00781,0.00781,0.00781,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00781,0.00781,0.00651,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00651,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00781,0.00781,0.00781,0.00651,0.00651,0.00781,0.00781,0.00781,0.00781,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00781,0.00781,0.00651,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00651,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.006438906
12,1,4,0,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00832,0.00832,0.00832,0.00832,0.00832,0.00832,0.00832,0.00999,0.00999,0.00832,0.00666,0.00666,0.00666,0.00666,0.00666,0.00666,0.00832,0.00666,0.00666,0.00666,0.00666,0.00666,0.00666,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00832,0.00832,0.00832,0.00832,0.00832,0.00832,0.00999,0.00999,0.00832,0.00666,0.00832,0.00666,0.00666,0.00666,0.00666,0.00832,0.00666,0.00666,0.00666,0.00666,0.00666,0.00666,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00832,0.00832,0.00832,0.00832,0.00832,0.00832,0.00832,0.00999,0.00999,0.00832,0.00666,0.00666,0.00666,0.00666,0.00666,0.00666,0.00832,0.00666,0.00666,0.00666,0.00666,0.00666,0.00666,0.00999,0.00999,0.00999,0.00832,0.00832,0.00999,0.00999,0.00999,0.00999,0.00832,0.00832,0.00832,0.00832,0.00832,0.00832,0.00832,0.00999,0.00999,0.00832,0.00666,0.00666,0.00666,0.00666,0.00666,0.00666,0.00832,0.00666,0.00666,0.00666,0.00666,0.00666,0.00666,0.008271484
15,1,5,0,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0126,0.0126,0.0105,0.00839,0.0105,0.00839,0.00839,0.00839,0.00839,0.0105,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0126,0.0126,0.0105,0.0105,0.0105,0.00839,0.00839,0.00839,0.00839,0.0105,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0126,0.0126,0.0105,0.00839,0.0105,0.00839,0.00839,0.00839,0.00839,0.0105,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.0126,0.0126,0.0126,0.0105,0.0126,0.0126,0.0126,0.0126,0.0126,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0126,0.0126,0.0105,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.0105,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.010496562
18,1,6,0,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0201,0.0201,0.0168,0.0168,0.0168,0.0134,0.0134,0.0134,0.0134,0.0168,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0201,0.0201,0.0168,0.0168,0.0168,0.0134,0.0134,0.0134,0.0134,0.0168,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0201,0.0201,0.0168,0.0168,0.0168,0.0134,0.0134,0.0134,0.0134,0.0168,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0201,0.0201,0.0168,0.0134,0.0168,0.0134,0.0134,0.0134,0.0134,0.0168,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.016845312
21,700,0,0,0.000689,0.000689,0.000689,0.000574,0.000574,0.000574,0.000574,0.000574,0.000689,0.000574,0.000574,0.000689,0.000689,0.000689,0.000574,0.000574,0.000689,0.000689,0.000459,0.000459,0.000459,0.000287,0.000459,0.000459,0.000459,0.000574,0.000574,0.000574,0.000574,0.000574,0.000574,0.000459,0.000689,0.000689,0.000689,0.000574,0.000574,0.000689,0.000689,0.000574,0.000689,0.000574,0.000574,0.000689,0.000689,0.000689,0.000574,0.000574,0.000689,0.000689,0.000459,0.000459,0.000459,0.000459,0.000459,0.000459,0.000459,0.000574,0.000574,0.000574,0.000574,0.000574,0.000574,0.000459,0.000689,0.000689,0.000689,0.000574,0.000574,0.000689,0.000689,0.000574,0.000689,0.000574,0.000574,0.000689,0.000689,0.000689,0.000574,0.000574,0.000689,0.000689,0.000459,0.000459,0.000459,0.000459,0.000459,0.000459,0.000459,0.000574,0.000574,0.000574,0.000574,0.000574,0.000574,0.000459,0.000689,0.000689,0.000689,0.000574,0.000574,0.000574,0.000574,0.000574,0.000689,0.000574,0.000574,0.000689,0.000689,0.000689,0.000574,0.000574,0.000689,0.000689,0.000459,0.000459,0.000459,0.000287,0.000459,0.000459,0.000459,0.000574,0.000574,0.000459,0.000574,0.000574,0.000574,0.000459,0.000577602
24,700,1,0,0.00626,0.00626,0.00626,0.00522,0.00522,0.00626,0.00626,0.00626,0.00626,0.00522,0.00522,0.00522,0.00522,0.00522,0.00522,0.00522,0.00626,0.00626,0.00522,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00522,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00626,0.00626,0.00626,0.00626,0.00522,0.00626,0.00626,0.00626,0.00626,0.00522,0.00522,0.00626,0.00626,0.00522,0.00522,0.00522,0.00626,0.00626,0.00522,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00522,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00626,0.00626,0.00626,0.00522,0.00522,0.00626,0.00626,0.00626,0.00626,0.00522,0.00522,0.00522,0.00626,0.00522,0.00522,0.00522,0.00626,0.00626,0.00522,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00522,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00626,0.00626,0.00626,0.00522,0.00522,0.00626,0.00626,0.00626,0.00626,0.00522,0.00522,0.00522,0.00522,0.00522,0.00522,0.00522,0.00626,0.00626,0.00522,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00522,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00515125
27,700,2,0,0.00853,0.00853,0.00853,0.00711,0.00711,0.00853,0.00853,0.00853,0.00853,0.00711,0.00711,0.00711,0.00711,0.00711,0.00711,0.00711,0.00853,0.00853,0.00711,0.00568,0.00568,0.00568,0.00568,0.00568,0.00568,0.00711,0.00568,0.00568,0.00568,0.00568,0.00568,0.00568,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00711,0.00853,0.00711,0.00711,0.00711,0.00711,0.00853,0.00853,0.00711,0.00568,0.00568,0.00568,0.00568,0.00568,0.00568,0.00711,0.00568,0.00568,0.00568,0.00568,0.00568,0.00568,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00853,0.00711,0.00711,0.00711,0.00711,0.00711,0.00711,0.00711,0.00853,0.00853,0.00711,0.00568,0.00568,0.00568,0.00568,0.00568,0.00568,0.00711,0.00568,0.00568,0.00568,0.00568,0.00568,0.00568,0.00853,0.00853,0.00853,0.00711,0.00711,0.00853,0.00853,0.00853,0.00853,0.00711,0.00711,0.00711,0.00711,0.00711,0.00711,0.00711,0.00853,0.00853,0.00711,0.00568,0.00568,0.00568,0.00568,0.00568,0.00568,0.00711,0.00568,0.00568,0.00568,0.00568,0.00568,0.00568,0.007039687
